uo_cod;uo_sigla;fonte_cod;fonte_desc;analise_dcmefo
1371;SEMAD;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1371;SEMAD;59;OUTROS RECURSOS VINCULADOS;
1371;SEMAD;79;CONTRIBUICAO PATRONAL PARA O FUNPREV;
1401;CBMMG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1401;CBMMG;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1401;CBMMG;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
1401;CBMMG;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1401;CBMMG;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
1401;CBMMG;60;RECURSOS DIRETAMENTE ARRECADADOS;
1401;CBMMG;66;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM OS ESTADOS E O DISTRITO FEDERAL;
1401;CBMMG;70;CONVENIOS COM OS MUNICIPIOS;
1401;CBMMG;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1401;CBMMG;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1441;DEF PUB;47;ALIENACAO DE BENS DE ENTIDADES ESTADUAIS;Receita com alienação
1441;DEF PUB;60;RECURSOS DIRETAMENTE ARRECADADOS;
1451;SEJUSP;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1451;SEJUSP;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1451;SEJUSP;9;TERMOS DE AJUSTAMENTO, DOACOES CONTROLADAS POR INSTRUMENTO JURIDICO E CONGENERES;
1451;SEJUSP;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
1451;SEJUSP;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1451;SEJUSP;45;DOACOES DE PESSOAS, DE INSTITUICOES PRIVADAS OU DO EXTERIOR A ORGAO E ENTIDADES DO ESTADO;
1451;SEJUSP;60;RECURSOS DIRETAMENTE ARRECADADOS;
1451;SEJUSP;61;RECURSOS DIRETAMENTE ARRECADADOS COM VINCULACAO ESPECIFICA;
1451;SEJUSP;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1481;SEDESE;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1481;SEDESE;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
1481;SEDESE;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;
1481;SEDESE;24;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EXCETO EMENDAS INDIVIDUAIS E DE BANCADA;
1481;SEDESE;38;TRANSFERENCIAS DA UNIAO VINCULADAS AO ESPORTE;
1481;SEDESE;59;OUTROS RECURSOS VINCULADOS;
1481;SEDESE;98;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;
1501;SEPLAG;74;ACORDOS E AJUSTES DE COOPERACAO MUTUA COM AS INSTITUICOES PRIVADAS E OS ORGANISMOS DO EXTERIOR;
1511;PCMG;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;
1511;PCMG;2;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS DE BANCADA;
